"","Cell_ID","Pearson_Correlation","mean_intensity_KRAS","mean_intensity_BRAF","sum_intensity_KRAS","sum_intensity_BRAF","Area_Pixels","Area","KRAS_type","BRAF_type","image_no"
"159",26,0.938039059550439,549.613214935862,505.065270310317,51929655,47720587,94484,117.6688713044,"KRASG12D","BRAF_AAAA",20
"160",27,0.191315692657973,15.0840380740973,9.33158002678216,1250331,773504,82891,103.2311334331,"KRASG12D","BRAF_AAAA",20
"161",28,0.874763882074288,207.850666019148,184.407763285694,17975757,15948321,86484,107.7057985044,"KRASG12D","BRAF_AAAA",20
"162",29,0.786725556760213,462.015801501189,1170.6340665874,49735077,126016416,107648,134.0631075968,"KRASG12D","BRAF_AAAA",20
"163",30,0.932614199956466,464.215543644717,554.313626024682,82452108,98454969,177616,221.2001423056,"KRASG12D","BRAF_AAAA",20
"164",31,0.942883875128578,398.417198197671,322.439610275616,27234206,22040682,68356,85.1294755396,"KRASG12D","BRAF_AAAA",20
"165",32,0.891225768017301,97.413573361181,58.2106849575165,8208847,4905298,84268,104.9460273388,"KRASG12D","BRAF_AAAA",20
"166",33,0.870966933630967,1051.44480381115,1061.21815165444,138164053,139448310,131404,163.6484522764,"KRASG12D","BRAF_AAAA",20
"167",1,0.87325730699831,992.140707243187,1096.15852418925,295744247,326750606,298087,371.2328102167,"KRASG12D","BRAF_AAAA",21
"168",2,0.648116124307368,2362.59602626476,1764.97645697955,69443785,51877953,29393,36.6055748513,"KRASG12D","BRAF_AAAA",21
"169",3,0.808541409609993,665.016417655058,392.274673763272,147685516,87115575,222078,276.5724101598,"KRASG12D","BRAF_AAAA",21
"170",4,0.72562929425289,222.558212695968,116.627951753756,34099034,17869035,153214,190.8102794974,"KRASG12D","BRAF_AAAA",21
"171",5,0.850973018388315,1248.51784760219,934.119046411955,320146195,239527740,256421,319.3426363061,"KRASG12D","BRAF_AAAA",21
"172",6,0.685989226910508,35.2863613406979,19.4335182498136,8803312,4848313,249482,310.7009160362,"KRASG12D","BRAF_AAAA",21
"173",7,0.82351515594835,667.982579669327,558.850075627184,128072300,107148325,191730,238.777493493,"KRASG12D","BRAF_AAAA",21
"174",8,0.952569514835642,731.769623969351,468.624604397435,70290863,45014205,96056,119.6266151096,"KRASG12D","BRAF_AAAA",21
"175",9,0.772044859840067,972.501342882722,827.540734109221,1086284,924363,1117,1.3910940397,"KRASG12D","BRAF_AAAA",21
"176",10,0.329903443589361,286.512414383562,358.081497336377,30118185,37641527,105120,130.914776592,"KRASG12D","BRAF_AAAA",21
"177",11,0.869170530550251,121.196230407632,78.0014509036269,35166783,22633213,290164,361.3656319924,"KRASG12D","BRAF_AAAA",21
"178",12,0.336743700904375,99.546949535526,99.8979830948196,4757946,4774724,47796,59.5243784436,"KRASG12D","BRAF_AAAA",21
"179",13,0.86374625398841,1231.92695233404,763.19760302085,112555006,69729549,91365,113.7845182965,"KRASG12D","BRAF_AAAA",21
"180",1,0.0802530943722744,25.3019808620998,8.39768154176355,2263414,751223,89456,111.4070800496,"KRASG12D","BRAF_AAAA",22
"181",2,-5.89009363311105e-05,13.6700316011236,6.4047577247191,311458,145926,22784,28.3748313344,"KRASG12D","BRAF_AAAA",22
"182",3,0.883154135842673,3276.86823972831,1989.82695667537,333853890,202727550,101882,126.8822228762,"KRASG12D","BRAF_AAAA",22
"183",4,0.900665681535105,2025.46262513426,1892.20777658432,235713213,220205680,116375,144.9315746375,"KRASG12D","BRAF_AAAA",22
"184",5,0.54359375830765,54.8128666301428,16.1410732658979,8204061,2415899,149674,186.4016197834,"KRASG12D","BRAF_AAAA",22
"185",6,0.711237474476536,74.995774443982,41.6023905608136,8288383,4597813,110518,137.6373599638,"KRASG12D","BRAF_AAAA",22
"186",7,-0.0027824033942759,36.1393957583033,18.0211284513806,1806247,900696,49980,62.244297318,"KRASG12D","BRAF_AAAA",22
"187",8,0.923615652734404,2237.1204091384,2017.9753318378,276237391,249177576,123479,153.7787832839,"KRASG12D","BRAF_AAAA",22
"188",9,0.764174245349856,1232.23960497729,988.13489235631,155970728,125073174,126575,157.6344924575,"KRASG12D","BRAF_AAAA",22
"189",10,0.823519786993239,253.142679517602,139.772730227871,31149713,17199314,123052,153.2470042732,"KRASG12D","BRAF_AAAA",22
"190",11,0.931694005412933,208.749095891959,141.047373848675,29553862,19968923,141576,176.3164993416,"KRASG12D","BRAF_AAAA",22
"191",12,0.955288457235671,1929.71067517946,2206.1091005326,58333224,66688472,30229,37.6467159589,"KRASG12D","BRAF_AAAA",22
"192",13,0.153379640755833,1.68516065432365,9.07843258063522,54702,294695,32461,40.4264132701,"KRASG12D","BRAF_AAAA",22
"193",14,0.607673565992839,1345.44488771194,1068.21759466245,39121501,31060563,29077,36.2120334757,"KRASG12D","BRAF_AAAA",22
"194",1,0.340517341127581,58.3559156643679,29.9858563487452,5322468,2734920,91207,113.5877476087,"KRASG12D","BRAF_AAAA",23
"195",2,0.928466563573218,2093.73866843119,1408.02712959539,107582574,72348658,51383,63.9915712103,"KRASG12D","BRAF_AAAA",23
"196",3,0.877985288368026,367.958745746383,232.033624935904,23680721,14932988,64357,80.1491845237,"KRASG12D","BRAF_AAAA",23
"197",4,0.543700315904327,49.7423406417889,22.7572092347902,3425755,1567289,68870,85.769602967,"KRASG12D","BRAF_AAAA",23
"198",5,0.85413140206096,276.401439195496,172.566284286273,27540363,17194332,99639,124.0888263399,"KRASG12D","BRAF_AAAA",23
"199",6,0.66028246984715,349.966280752533,467.811027496382,36274005,48488613,103650,129.084061965,"KRASG12D","BRAF_AAAA",23
"200",7,0.845433453750368,99.2289082268716,80.1289781727664,9646836,7789979,97218,121.0737514338,"KRASG12D","BRAF_AAAA",23
"201",8,0.870269991429052,320.825492065272,193.559468401279,17163843,10355238,53499,66.6268039659,"KRASG12D","BRAF_AAAA",23
"202",9,0.838800295382355,225.534828152883,134.014255900471,22370123,13292472,99187,123.5259127267,"KRASG12D","BRAF_AAAA",23
"203",10,0.82395386761661,50.3933507154836,26.2296524794046,4116784,2142779,81693,101.7391632813,"KRASG12D","BRAF_AAAA",23
"204",11,0.680361424422373,2777.4479703658,1560.41682358389,269926281,151649109,97185,121.0326537585,"KRASG12D","BRAF_AAAA",23
"205",12,0.908830437500023,2442.68856782053,1786.83184147972,263067788,192434642,107696,134.1228860336,"KRASG12D","BRAF_AAAA",23
"206",13,0.428515901838757,14.2576944112967,5.31961018297534,1147003,427952,80448,100.1886600768,"KRASG12D","BRAF_AAAA",23
"207",14,0.906701624976163,175.335302858552,102.047286225266,29852764,17374673,170261,212.0403422501,"KRASG12D","BRAF_AAAA",23
"208",15,0.400356484917747,55.3640771845631,27.8232353529294,1107503,556576,20004,24.9126635364,"KRASG12D","BRAF_AAAA",23
"209",16,-0.0107374686268646,162.295831251735,279.955481543158,14618797,25216990,90075,112.1779728075,"KRASG12D","BRAF_AAAA",23
"210",17,0.775960536705498,1175.16501798561,1369.14602068345,10454268,12179923,8896,11.0789369536,"KRASG12D","BRAF_AAAA",23
