Cell_ID,Pearson_Correlation,mean_intensity_KRAS,mean_intensity_BRAF,sum_intensity_KRAS,sum_intensity_BRAF,Area_Pixels,Area,KRAS_type,BRAF_type,image_no,BRAF_75th,KRAS_75th
31,-0.5045345202321361,1059.819202774184,2347.673804557337,120415598,266740350,113619,141.49929605790004,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
32,-0.4534841110307828,954.2481478979486,1601.6854353847193,84754412,142258497,88818,110.61252499380002,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
35,-0.46541238650663586,1767.408157331838,1784.056881191203,170212010,171815382,96306,119.93796113460002,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
32,0.7476351730631484,436.9806569895548,408.04778564580425,51959622,48519330,118906,148.08364179460003,KRASG12D,BRAF_WT,6,184.8062967557776,208.1870834355354
37,0.6944251503152451,270.21044645694315,311.93470765808706,34014091,39266341,125880,156.76895050800002,KRASG12D,BRAF_WT,6,184.8062967557776,208.1870834355354
4,0.8958355858509377,1254.299895168845,1493.8638142927243,224941126,267903561,179336,223.34220295760005,KRASG12D,BRAF_WT,7,184.8062967557776,208.1870834355354
11,0.8027355897725774,941.8193827332684,355.06664807029426,94537946,35640880,100378,125.00916518980004,KRASG12D,BRAF_WT,7,184.8062967557776,208.1870834355354
12,0.7889617631739574,1153.756879385939,794.318937853373,98153559,67575095,85073,105.94856153930002,KRASG12D,BRAF_WT,7,184.8062967557776,208.1870834355354
17,0.8822123551749165,1332.2395691502986,1451.464525000337,98824199,107668187,74179,92.38134715390002,KRASG12D,BRAF_WT,7,184.8062967557776,208.1870834355354
18,0.5617023284311188,303.6832397754611,247.07383052659716,22721580,18486064,74820,93.17963836200002,KRASG12D,BRAF_WT,7,184.8062967557776,208.1870834355354
24,0.8296426579587841,2466.532565945616,1415.528395605886,145495823,83499189,58988,73.46271729080001,KRASG12D,BRAF_WT,7,184.8062967557776,208.1870834355354
1,0.8611638188320305,2263.500162079558,1819.1075127734127,146636331,117847242,64783,80.67971815030002,KRASG12D,BRAF_WT,8,184.8062967557776,208.1870834355354
3,0.7640785312636739,1085.907069015725,1144.387594641817,59664078,62877232,54944,68.42638399040001,KRASG12D,BRAF_WT,8,184.8062967557776,208.1870834355354
6,0.903597706347329,1255.379812402689,940.0809554551324,165289583,123775759,131665,163.97349752650004,KRASG12D,BRAF_WT,8,184.8062967557776,208.1870834355354
10,0.9623852314654856,3804.8561056518743,3350.8125013039576,364741116,321215588,95862,119.38501059420004,KRASG12D,BRAF_WT,8,184.8062967557776,208.1870834355354
13,0.7563822251138393,1244.258433768092,864.5928188383199,203484780,141394645,163539,203.66887032990005,KRASG12D,BRAF_WT,8,184.8062967557776,208.1870834355354
